And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,woodardjba
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,Kathlee54272830
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,CathyNolley
RT @jrussell20941: Here’s an example of “fake” real news. Today’s headline “School Shooting in Kansas” it did happen at a school  no studen…,AgnesSBaker
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,Galaxi162
RT @ABCWorldNews: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokes…,AustinCcorbaus
RT @ABCWorldNews: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. http…,AustinCcorbaus
Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,Newsweek
#BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt;… https://t.co/UkaV8tfbkj,WAFB
RT @WAFB: #BREAKING: 1 dead  1 injured in shooting outside elementary school in Kansas; Suspect in custody &gt;&gt; https://t.co/zBbzEdMbjO https…,Deneshaaaa
RT @Newsweek: Two workers shot at Overland Park  Kansas  elementary school: Live updates https://t.co/xEJkDyJOLt https://t.co/xlhb1KH4S3,esternlukin
